account_id,account_number,bank_name,balance
ACC_0001,932138782905,HDFC Bank,1553124.82
ACC_0002,874723239289,ICICI Bank,890842.18
ACC_0003,719078416015,ICICI Bank,2070499.88
ACC_0004,309745910171,ICICI Bank,4417959.33
ACC_0005,384734566310,Axis Bank,1323461.17
ACC_0006,488651099520,Punjab National Bank,1818702.38
ACC_0007,807691942767,Punjab National Bank,2248916.05
ACC_0008,854329514569,HDFC Bank,184618.74
ACC_0009,743535240210,Axis Bank,779365.43
ACC_0010,330075863164,Axis Bank,1735260.73
ACC_0011,850807134230,ICICI Bank,1038027.34
ACC_0012,707754044012,ICICI Bank,454696.74
ACC_0013,330955033046,ICICI Bank,1092056.34
ACC_0014,135480063042,State Bank of India,2585632.07
ACC_0015,304574075460,Axis Bank,699936.59
ACC_0016,454707694263,ICICI Bank,2819283.36
ACC_0017,747072492028,State Bank of India,1612537.86
ACC_0018,791939043931,ICICI Bank,4346776.18
ACC_0019,271832614784,Axis Bank,2378004.11
ACC_0020,810115598369,State Bank of India,936370.48
ACC_0021,436545066867,HDFC Bank,2334739.32
ACC_0022,925433275044,State Bank of India,2195604.55
ACC_0023,600864536118,Punjab National Bank,2880250.04
ACC_0024,905027059738,Axis Bank,2368386.8
ACC_0025,375924112559,ICICI Bank,3005108.66
ACC_0026,845101911279,Axis Bank,1501566.32
ACC_0027,357171615268,Punjab National Bank,540168.72
ACC_0028,952232726388,ICICI Bank,4769955.72
ACC_0029,750261270391,State Bank of India,820965.8
ACC_0030,316999294706,Punjab National Bank,3759498.61
ACC_0031,826407349874,ICICI Bank,3943058.53
ACC_0032,439690675628,HDFC Bank,4007646.63
ACC_0033,535761856470,HDFC Bank,2303478.04
ACC_0034,261742492357,HDFC Bank,4414890.75
ACC_0035,436301446863,State Bank of India,923783.69
ACC_0036,327022359985,Axis Bank,451744.31
ACC_0037,268554842725,Punjab National Bank,4228496.31
ACC_0038,105902392359,Axis Bank,797489.69
ACC_0039,615825200638,Punjab National Bank,3434245.41
ACC_0040,334929470169,Axis Bank,3342515.82
ACC_0041,610376749064,HDFC Bank,3815517.81
ACC_0042,525613326953,HDFC Bank,1592465.14
ACC_0043,250045809483,Axis Bank,3866528.94
ACC_0044,413094617397,Axis Bank,2985097.43
ACC_0045,179603418555,ICICI Bank,2442058.33
ACC_0046,128288496979,HDFC Bank,4428055.06
ACC_0047,942578781506,HDFC Bank,1846293.7
ACC_0048,651215462593,State Bank of India,3053222.05
ACC_0049,537020157057,State Bank of India,3228240.77
ACC_0050,646053895235,HDFC Bank,222195.35
ACC_0051,578038183346,State Bank of India,1698593.69
ACC_0052,300377597244,Axis Bank,754587.1
ACC_0053,526537892598,Axis Bank,175098.48
ACC_0054,295084874487,HDFC Bank,1991682.49
ACC_0055,611558223974,State Bank of India,1732088.05
ACC_0056,210520978942,Axis Bank,4017947.73
ACC_0057,276146162920,ICICI Bank,644568.81
ACC_0058,523084216424,Axis Bank,58931.71
ACC_0059,540965129473,Axis Bank,3857026.94
ACC_0060,565157647710,ICICI Bank,3710582.98
ACC_0061,761923001204,Axis Bank,2510805.87
ACC_0062,623045427426,ICICI Bank,4220997.86
ACC_0063,503605679964,State Bank of India,3927688.12
ACC_0064,568068690614,Punjab National Bank,3798294.3
ACC_0065,842472346346,State Bank of India,752785.71
ACC_0066,881401340548,Punjab National Bank,1289924.92
ACC_0067,995564660275,Punjab National Bank,3638416.2
ACC_0068,578695534285,State Bank of India,2324351.11
ACC_0069,233315116783,Axis Bank,2301793.33
ACC_0070,854193371907,ICICI Bank,1262381.7
ACC_0071,840183762064,ICICI Bank,3834401.92
ACC_0072,692806548927,ICICI Bank,894462.17
ACC_0073,556799344325,State Bank of India,2234403.97
ACC_0074,797063242206,State Bank of India,2979298.75
ACC_0075,904693237725,State Bank of India,2656811.41
ACC_0076,372284668272,HDFC Bank,421150.25
ACC_0077,237845139611,HDFC Bank,3164967.2
ACC_0078,479136933398,Axis Bank,3445270.81
ACC_0079,725018925608,Axis Bank,204164.26
ACC_0080,509424579955,State Bank of India,734605.49
ACC_0081,898764459927,State Bank of India,1910183.06
ACC_0082,898779162240,State Bank of India,1689525.93
ACC_0083,923073535610,ICICI Bank,2113227.02
ACC_0084,301959599224,ICICI Bank,3608248.2
ACC_0085,576364901514,State Bank of India,3968430.33
ACC_0086,385919817423,ICICI Bank,3078291.78
ACC_0087,369696988696,State Bank of India,1871807.7
ACC_0088,338254370338,Axis Bank,1374658.98
ACC_0089,957657137173,HDFC Bank,1384992.2
ACC_0090,150128451571,Punjab National Bank,1993954.51
ACC_0091,843807849751,ICICI Bank,1364124.34
ACC_0092,329382103465,State Bank of India,3910470.83
ACC_0093,244556628194,ICICI Bank,1335999.35
ACC_0094,970156420443,ICICI Bank,486641.34
ACC_0095,118145484224,ICICI Bank,1106067.51
ACC_0096,416158496686,Punjab National Bank,4135047.91
