call_id,caller_number,receiver_number,timestamp,duration_seconds,cell_tower_location_id
CDR_000001,+918122600663,+917463121724,2023-01-26T15:31:58Z,257,LOC_0101
CDR_000002,+916508924953,+919400156805,2023-08-14T09:27:48Z,2917,LOC_0031
CDR_000003,+917292304779,+916810327163,2025-11-20T12:20:41Z,321,LOC_0100
CDR_000004,+918704895305,+919081149490,2024-11-22T19:13:27Z,2095,LOC_0119
CDR_000005,+917731709641,+917176977900,2024-04-11T17:57:33Z,3442,LOC_0129
CDR_000006,+918180279805,+919249102562,2023-11-14T15:37:49Z,3039,LOC_0094
CDR_000007,+916128924554,+917930172860,2026-03-08T22:45:06Z,2592,LOC_0064
CDR_000008,+918895259482,+918590682033,2024-07-20T20:06:07Z,660,LOC_0124
CDR_000009,+916940299467,+919796457360,2026-04-04T00:59:17Z,3289,LOC_0082
CDR_000010,+916091438352,+918867043264,2024-09-01T19:57:33Z,1809,LOC_0118
CDR_000011,+918078381873,+919764066450,2024-06-03T20:15:01Z,1481,LOC_0077
CDR_000012,+917970319532,+918490611661,2025-06-27T09:49:17Z,2930,LOC_0010
CDR_000013,+917861746627,+919573639898,2023-10-10T22:55:45Z,2845,LOC_0099
CDR_000014,+919854416702,+916837619957,2023-05-30T06:50:01Z,1338,LOC_0075
CDR_000015,+917498230953,+916235316246,2026-07-01T01:49:30Z,1963,LOC_0003
CDR_000016,+917887532541,+918252188304,2023-07-17T17:48:28Z,2355,LOC_0064
CDR_000017,+917003833443,+918093781592,2023-11-26T13:19:51Z,532,LOC_0101
CDR_000018,+919152000372,+917473713393,2023-10-30T23:27:42Z,1934,LOC_0068
CDR_000019,+918156834290,+919168819811,2023-09-01T06:37:14Z,268,LOC_0064
CDR_000020,+916491028289,+918996395544,2025-04-12T05:59:45Z,1181,LOC_0020
CDR_000021,+917176226755,+916807254039,2025-01-18T19:21:56Z,347,LOC_0035
CDR_000022,+916313595787,+919896945119,2025-03-28T13:54:51Z,1094,LOC_0045
CDR_000023,+919495540116,+919312303657,2024-08-04T15:01:09Z,263,LOC_0091
CDR_000024,+916788958738,+919141962771,2025-01-04T15:46:52Z,1789,LOC_0094
CDR_000025,+919944676828,+916369445790,2025-07-21T02:54:06Z,646,LOC_0040
CDR_000026,+917459525419,+919026491892,2024-07-15T14:51:22Z,536,LOC_0140
CDR_000027,+918831060255,+918737594009,2025-01-31T13:42:09Z,2741,LOC_0007
CDR_000028,+916297465366,+917558287806,2023-01-09T22:04:42Z,3215,LOC_0039
CDR_000029,+917725708681,+916146387689,2026-04-23T23:18:51Z,3567,LOC_0046
CDR_000030,+917521998002,+918295619572,2026-05-23T16:24:50Z,969,LOC_0092
CDR_000031,+919866520330,+919515645918,2024-11-12T16:41:02Z,2164,LOC_0128
CDR_000032,+918445685199,+916790558940,2026-02-02T02:41:09Z,799,LOC_0090
CDR_000033,+918615798918,+917082434192,2024-09-28T19:41:53Z,1235,LOC_0125
CDR_000034,+918379735122,+919784541097,2025-03-28T11:57:00Z,2725,LOC_0080
CDR_000035,+916939673695,+918556293060,2024-10-02T13:54:00Z,1139,LOC_0093
CDR_000036,+916377188000,+918640665603,2024-12-07T14:09:55Z,2808,LOC_0039
CDR_000037,+916886084049,+916120019264,2023-06-09T13:14:46Z,3110,LOC_0003
CDR_000038,+917864326250,+917195461796,2024-07-03T00:33:26Z,2978,LOC_0013
CDR_000039,+916175892199,+916120133063,2023-03-18T07:14:24Z,2216,LOC_0123
CDR_000040,+918079586549,+919019762806,2026-02-23T14:29:18Z,1276,LOC_0090
CDR_000041,+918044022431,+917428785242,2024-06-09T17:09:09Z,2228,LOC_0029
CDR_000042,+917382283488,+917409244959,2024-05-12T04:43:11Z,2174,LOC_0003
CDR_000043,+919793200863,+919048975310,2025-05-23T01:19:33Z,2633,LOC_0143
CDR_000044,+918958015721,+918156834290,2025-01-25T17:21:27Z,2440,LOC_0126
CDR_000045,+918724585317,+916999034756,2025-02-15T00:30:34Z,1787,LOC_0021
CDR_000046,+919640382786,+919375300097,2024-11-24T16:05:44Z,2181,LOC_0141
CDR_000047,+918792983216,+918371470157,2023-10-29T03:40:40Z,3404,LOC_0099
CDR_000048,+918732742483,+919291271354,2024-08-26T18:22:12Z,3129,LOC_0085
CDR_000049,+916930600995,+919168848623,2023-12-30T11:02:40Z,1235,LOC_0114
CDR_000050,+916487937820,+919497082739,2026-03-01T09:07:40Z,2356,LOC_0105
CDR_000051,+919738550295,+919620148151,2025-01-14T21:29:29Z,2369,LOC_0038
CDR_000052,+919924462352,+916663839732,2023-09-22T12:04:17Z,2061,LOC_0030
CDR_000053,+917885133086,+919978157818,2024-06-19T19:51:09Z,7,LOC_0047
CDR_000054,+916900159659,+919847558512,2024-03-26T18:19:08Z,851,LOC_0141
CDR_000055,+917215861114,+916939673695,2024-01-16T09:33:21Z,1185,LOC_0081
CDR_000056,+918106074066,+918831060255,2023-09-13T16:20:14Z,477,LOC_0075
CDR_000057,+918998458008,+919702276600,2025-09-10T22:40:49Z,20,LOC_0065
CDR_000058,+916849872844,+918458590795,2026-03-13T11:46:16Z,1711,LOC_0007
CDR_000059,+917056191455,+917053633420,2025-09-23T16:25:20Z,2313,LOC_0110
CDR_000060,+918844458160,+916876353362,2023-04-29T02:47:52Z,1109,LOC_0091
CDR_000061,+916533891998,+919237083706,2024-12-01T10:39:09Z,972,LOC_0105
CDR_000062,+916167893174,+917562122502,2025-06-07T18:56:25Z,2186,LOC_0082
CDR_000063,+916091438352,+919614631486,2025-07-31T03:53:38Z,2285,LOC_0024
CDR_000064,+917500130102,+919472255508,2025-01-22T22:31:48Z,2956,LOC_0060
CDR_000065,+917066624804,+916268007062,2024-07-20T18:10:20Z,844,LOC_0113
CDR_000066,+918481973488,+916369382071,2025-03-29T21:41:42Z,1438,LOC_0135
CDR_000067,+919461484918,+916547253832,2025-02-24T23:44:54Z,3066,LOC_0089
CDR_000068,+917870369767,+917156403157,2024-12-04T05:15:25Z,482,LOC_0063
CDR_000069,+916518351152,+917150724227,2025-08-08T19:46:35Z,2197,LOC_0065
CDR_000070,+916757784718,+917710446980,2026-05-16T07:58:54Z,2965,LOC_0100
CDR_000071,+916964151220,+917375191063,2024-01-13T17:35:58Z,3463,LOC_0145
CDR_000072,+919438177052,+918231987320,2024-06-10T12:52:38Z,1966,LOC_0065
CDR_000073,+916128591125,+917260459282,2025-01-20T21:26:07Z,1142,LOC_0061
CDR_000074,+917468961055,+916563470451,2023-09-03T03:37:05Z,330,LOC_0037
CDR_000075,+916877052144,+919790739390,2024-03-01T21:36:39Z,2115,LOC_0117
CDR_000076,+919202789486,+918291612234,2024-08-18T17:28:26Z,3342,LOC_0019
CDR_000077,+916373077289,+918259218970,2025-05-01T17:31:53Z,3101,LOC_0145
CDR_000078,+918480705258,+918078381873,2024-05-30T21:57:46Z,1534,LOC_0127
CDR_000079,+918490611661,+919601971852,2025-04-15T13:06:59Z,3479,LOC_0057
CDR_000080,+918308259281,+917526393650,2026-06-18T11:12:52Z,2440,LOC_0011
CDR_000081,+918712510228,+917838882481,2023-04-03T19:06:44Z,1330,LOC_0004
CDR_000082,+919702276600,+917529133908,2024-06-28T18:17:49Z,3033,LOC_0030
CDR_000083,+919567181201,+917183009989,2024-08-12T23:22:31Z,1324,LOC_0141
CDR_000084,+917850733732,+916415932585,2023-02-20T08:35:40Z,1326,LOC_0146
CDR_000085,+916123579604,+916506774170,2023-12-15T03:41:35Z,1140,LOC_0078
CDR_000086,+917947386482,+919468434391,2024-09-26T23:17:45Z,519,LOC_0121
CDR_000087,+918025030698,+918526469228,2023-10-20T17:41:42Z,2503,LOC_0060
CDR_000088,+916189032301,+917176977900,2026-04-18T13:45:49Z,3130,LOC_0105
CDR_000089,+919944676828,+916890656381,2023-11-11T01:45:18Z,1528,LOC_0050
CDR_000090,+919026491892,+919320036885,2025-01-03T16:47:43Z,1290,LOC_0150
CDR_000091,+916918177938,+918077559531,2023-02-01T06:44:30Z,2341,LOC_0102
CDR_000092,+918379735122,+916228307893,2023-10-16T19:01:18Z,2996,LOC_0031
CDR_000093,+916486115413,+916012309827,2023-01-01T03:28:31Z,2156,LOC_0126
CDR_000094,+917531092238,+918654191036,2026-04-01T16:31:19Z,2582,LOC_0084
CDR_000095,+917119695300,+916493012661,2025-02-22T07:42:10Z,2674,LOC_0142
CDR_000096,+916516612288,+917930172860,2023-10-23T16:35:40Z,1909,LOC_0109
CDR_000097,+918682951628,+919799177162,2025-07-02T09:50:38Z,1925,LOC_0117
CDR_000098,+919168848623,+916091438352,2025-09-23T02:38:44Z,3334,LOC_0132
CDR_000099,+918682951628,+916297465366,2024-08-20T19:09:16Z,1692,LOC_0007
CDR_000100,+917853345235,+916807254039,2025-10-18T03:39:36Z,2337,LOC_0128
CDR_000101,+918156891321,+917191405559,2024-06-04T08:50:09Z,50,LOC_0015
CDR_000102,+917970984707,+919057767497,2024-03-06T23:45:53Z,1495,LOC_0012
CDR_000103,+919575606753,+919518115388,2025-07-22T00:02:35Z,1642,LOC_0041
CDR_000104,+919172900312,+917376463094,2025-12-02T01:57:01Z,339,LOC_0005
CDR_000105,+918852128598,+917376265912,2023-12-26T08:20:23Z,2915,LOC_0047
CDR_000106,+917725708681,+917549875589,2024-07-06T13:10:26Z,610,LOC_0115
CDR_000107,+917970319532,+919362450803,2024-06-20T22:05:04Z,1191,LOC_0099
CDR_000108,+917475998631,+917562122502,2024-05-31T14:58:18Z,2549,LOC_0078
CDR_000109,+916918177938,+916498319477,2026-02-20T04:31:22Z,1443,LOC_0109
CDR_000110,+916807254039,+916592681126,2023-04-16T03:34:56Z,1884,LOC_0114
CDR_000111,+919702276600,+919748868637,2025-06-26T07:05:58Z,2262,LOC_0114
CDR_000112,+919925678450,+916006779966,2026-05-30T03:49:40Z,2616,LOC_0081
CDR_000113,+917390106458,+919249102562,2026-01-18T07:41:05Z,2422,LOC_0142
CDR_000114,+917384717361,+916918177938,2023-02-23T06:45:29Z,2077,LOC_0129
CDR_000115,+917174469727,+918168568631,2025-02-07T17:07:39Z,1353,LOC_0081
CDR_000116,+918263133100,+917195461796,2026-06-06T17:17:21Z,14,LOC_0094
CDR_000117,+916128924554,+916091087253,2024-06-10T04:49:53Z,2538,LOC_0123
CDR_000118,+918461270060,+916297465366,2025-03-21T05:40:40Z,893,LOC_0095
CDR_000119,+918159374355,+917773541214,2026-02-24T17:31:54Z,2864,LOC_0007
CDR_000120,+917883652701,+919811215239,2026-05-23T21:06:47Z,782,LOC_0012
CDR_000121,+918017624177,+916518784128,2024-10-07T07:31:38Z,1841,LOC_0047
CDR_000122,+916964151220,+916119791902,2025-04-10T16:09:12Z,442,LOC_0082
CDR_000123,+918591125930,+919900295590,2024-01-12T10:47:31Z,2269,LOC_0116
CDR_000124,+919477005482,+916437346137,2025-01-21T02:22:40Z,3548,LOC_0134
CDR_000125,+919229269576,+916137693023,2024-11-29T17:35:38Z,2336,LOC_0143
CDR_000126,+918079500806,+917533491749,2024-03-24T14:42:03Z,2974,LOC_0147
CDR_000127,+917205839367,+916936889011,2023-05-12T05:18:43Z,917,LOC_0122
CDR_000128,+918025030698,+917368329940,2024-01-10T21:34:39Z,15,LOC_0110
CDR_000129,+918868437461,+916877175367,2023-02-24T21:34:45Z,3400,LOC_0136
CDR_000130,+916716980913,+919883349761,2023-12-02T03:46:25Z,141,LOC_0105
CDR_000131,+918930719057,+917014944264,2025-11-27T17:32:32Z,2060,LOC_0053
CDR_000132,+917269627466,+918107376583,2023-07-12T00:58:41Z,1739,LOC_0114
CDR_000133,+916195355435,+917627460852,2025-04-12T05:28:11Z,1621,LOC_0109
CDR_000134,+919944676828,+918855475644,2024-10-04T18:13:09Z,193,LOC_0103
CDR_000135,+918561216903,+918584719544,2024-07-30T22:33:03Z,1438,LOC_0145
CDR_000136,+918062413300,+918374058517,2026-05-03T22:19:14Z,1002,LOC_0084
CDR_000137,+917003126774,+916580310006,2026-06-13T15:56:30Z,17,LOC_0082
CDR_000138,+917215861114,+919793682791,2024-11-17T11:55:02Z,1976,LOC_0034
CDR_000139,+916541696649,+917409244959,2024-04-01T04:35:27Z,165,LOC_0046
CDR_000140,+918420824631,+916412498542,2025-10-08T06:31:56Z,2523,LOC_0129
CDR_000141,+918009645719,+916964151220,2023-02-10T01:33:23Z,2578,LOC_0139
CDR_000142,+919438177052,+918586190457,2025-04-01T03:34:50Z,1838,LOC_0039
CDR_000143,+917004122133,+917628199646,2025-01-22T12:53:26Z,2068,LOC_0075
CDR_000144,+917176226755,+918005937631,2025-09-04T13:23:40Z,615,LOC_0012
CDR_000145,+916228463400,+916867290276,2023-08-26T13:07:18Z,1185,LOC_0030
CDR_000146,+916860125163,+919508331976,2023-05-14T01:09:24Z,1519,LOC_0016
CDR_000147,+917611705235,+918583274296,2025-06-19T18:30:31Z,1007,LOC_0030
CDR_000148,+919208320641,+918296067730,2023-01-22T09:39:16Z,2147,LOC_0031
CDR_000149,+919689390899,+918958015721,2026-07-01T03:31:11Z,474,LOC_0023
CDR_000150,+918075004731,+918302158748,2024-07-23T16:27:48Z,2584,LOC_0098
CDR_000151,+917158988822,+919573639898,2023-12-25T18:43:58Z,2658,LOC_0073
CDR_000152,+917000167474,+918971416447,2024-11-15T05:11:24Z,2722,LOC_0092
CDR_000153,+917348210721,+916824272995,2023-03-06T08:40:08Z,3575,LOC_0080
CDR_000154,+918437654971,+918529100509,2024-04-12T09:12:40Z,143,LOC_0142
CDR_000155,+917154261079,+916473890212,2023-07-22T03:20:23Z,2569,LOC_0123
CDR_000156,+917974208537,+919208320641,2025-06-05T12:27:58Z,2556,LOC_0010
CDR_000157,+917382283488,+916811147196,2024-04-26T19:56:21Z,2491,LOC_0079
