person_id,full_name,age,gender,role,risk_score
PER_0001,Rohan Sharma,36,Male,Enforcer,0.76
PER_0002,Arjun Pandey,46,Male,Lieutenant,0.29
PER_0003,Vihaan Yadav,31,Male,Associate,0.3
PER_0004,Ramesh Sharma,29,Male,Informant,0.35
PER_0005,Pooja Joshi,25,Male,Lieutenant,0.42
PER_0006,Manoj Mishra,35,Male,Courier,0.58
PER_0007,Farhan Patel,54,Male,Informant,0.61
PER_0008,Reyansh Verma,61,Male,Money Launderer,0.98
PER_0009,Neha Reddy,43,Male,Informant,0.24
PER_0010,Manoj Singh,61,Male,Lieutenant,0.64
PER_0011,Ananya Yadav,65,Male,Courier,0.44
PER_0012,Neha Hussain,39,Male,Kingpin,0.3
PER_0013,Aditya Joshi,44,Male,Smuggler,0.91
PER_0014,Deepak Singh,60,Male,Courier,0.23
PER_0015,Vikram Kumar,54,Male,Associate,0.9
PER_0016,Imran Choudhury,33,Female,Enforcer,0.55
PER_0017,Arjun Verma,26,Male,Enforcer,0.8
PER_0018,Zubair Mishra,23,Male,Courier,0.57
PER_0019,Aarav Hussain,65,Male,Money Launderer,0.78
PER_0020,Sunil Reddy,37,Male,Courier,0.1
PER_0021,Suresh Deshmukh,30,Male,Lieutenant,0.87
PER_0022,Rajesh Ali,51,Male,Enforcer,0.43
PER_0023,Ananya Yadav,52,Female,Informant,0.53
PER_0024,Rohan Choudhury,38,Male,Smuggler,0.88
PER_0025,Arjun Patel,65,Male,Lieutenant,0.97
PER_0026,Vikram Nair,61,Male,Enforcer,0.34
PER_0027,Zubair Singh,53,Male,Smuggler,0.73
PER_0028,Imran Hussain,60,Male,Courier,0.21
PER_0029,Neha Patel,40,Male,Smuggler,0.62
PER_0030,Aarav Patel,64,Male,Smuggler,0.16
PER_0031,Aditya Joshi,23,Male,Money Launderer,0.7
PER_0032,Pooja Yadav,27,Male,Courier,0.32
PER_0033,Anil Bose,31,Male,Associate,0.42
PER_0034,Tariq Mehta,65,Male,Lieutenant,0.15
PER_0035,Sunil Reddy,34,Male,Courier,0.22
PER_0036,Diya Gupta,48,Male,Lieutenant,0.49
PER_0037,Kabir Verma,60,Female,Kingpin,0.96
PER_0038,Priya Khan,45,Male,Smuggler,0.87
PER_0039,Sai Khan,43,Male,Associate,0.34
PER_0040,Sanjay Malhotra,46,Male,Courier,0.24
PER_0041,Amit Singh,22,Male,Kingpin,0.77
PER_0042,Sai Verma,56,Male,Enforcer,0.15
PER_0043,Arjun Khan,23,Male,Smuggler,0.46
PER_0044,Priya Pandey,57,Male,Lieutenant,0.47
PER_0045,Deepak Gupta,32,Male,Informant,0.31
PER_0046,Imran Nair,61,Male,Courier,0.38
PER_0047,Reyansh Sharma,48,Male,Lieutenant,0.17
PER_0048,Pooja Deshmukh,35,Male,Informant,0.88
PER_0049,Priya Choudhury,37,Male,Money Launderer,0.64
PER_0050,Aarav Hussain,54,Male,Lieutenant,0.94
PER_0051,Vikram Gupta,26,Female,Enforcer,0.34
PER_0052,Pooja Rao,40,Male,Money Launderer,0.55
PER_0053,Suresh Verma,24,Male,Money Launderer,0.14
PER_0054,Sunil Nair,59,Female,Enforcer,0.76
PER_0055,Zubair Yadav,19,Male,Enforcer,0.59
PER_0056,Ajay Pandey,54,Male,Enforcer,0.14
PER_0057,Ajay Verma,41,Male,Smuggler,0.69
PER_0058,Manoj Yadav,45,Female,Enforcer,0.92
PER_0059,Priya Khan,30,Female,Kingpin,0.26
PER_0060,Sunil Bose,61,Female,Smuggler,0.34
PER_0061,Kabir Das,21,Female,Smuggler,0.28
PER_0062,Sanjay Choudhury,38,Male,Smuggler,0.3
PER_0063,Isha Das,40,Male,Lieutenant,0.96
PER_0064,Ramesh Choudhury,60,Male,Informant,0.94
PER_0065,Rohan Gupta,30,Male,Money Launderer,0.13
PER_0066,Zubair Choudhury,65,Male,Associate,0.64
PER_0067,Rohan Das,55,Male,Kingpin,0.73
PER_0068,Aarav Deshmukh,53,Male,Smuggler,0.42
PER_0069,Reyansh Hussain,40,Male,Lieutenant,0.74
PER_0070,Rajesh Deshmukh,38,Male,Informant,0.46
PER_0071,Amit Yadav,27,Male,Associate,0.7
PER_0072,Diya Mishra,55,Male,Kingpin,0.37
PER_0073,Pooja Bose,56,Male,Informant,0.51
PER_0074,Bilal Hussain,32,Male,Enforcer,0.69
PER_0075,Amit Deshmukh,61,Male,Informant,0.18
PER_0076,Priya Hussain,38,Male,Smuggler,0.23
PER_0077,Aditya Kumar,49,Male,Lieutenant,0.51
PER_0078,Isha Rao,63,Male,Associate,0.32
PER_0079,Aarav Reddy,46,Male,Courier,0.14
PER_0080,Priya Reddy,48,Male,Courier,0.69
PER_0081,Deepak Mehta,58,Male,Associate,0.84
PER_0082,Bilal Khan,49,Male,Smuggler,0.85
PER_0083,Ramesh Deshmukh,50,Male,Money Launderer,0.49
PER_0084,Amit Kumar,36,Male,Lieutenant,0.22
PER_0085,Neha Das,63,Male,Smuggler,0.16
PER_0086,Tariq Joshi,53,Male,Kingpin,0.28
PER_0087,Tariq Das,56,Female,Kingpin,0.86
PER_0088,Farhan Shah,19,Female,Money Launderer,0.77
PER_0089,Tariq Yadav,53,Male,Smuggler,0.53
PER_0090,Ramesh Bose,50,Male,Informant,0.7
PER_0091,Imran Pillai,29,Male,Enforcer,0.97
PER_0092,Vihaan Das,56,Male,Kingpin,0.17
