phone_id,phone_number,imei,service_provider
PH_0001,+919966014688,869435390413302,Vi
PH_0002,+917338197849,867380994474746,Jio
PH_0003,+919509154515,867021415778669,Jio
PH_0004,+919048975310,861503819782570,Airtel
PH_0005,+916955019690,863506947689885,Jio
PH_0006,+917320394595,864689915256429,Jio
PH_0007,+916337605742,862366279443302,Airtel
PH_0008,+919327278141,861749176503306,Jio
PH_0009,+916463072131,862041929757899,BSNL
PH_0010,+916510767017,865453488222273,Airtel
PH_0011,+916284530257,864614652172777,Jio
PH_0012,+916793631899,867183338146808,Airtel
PH_0013,+916389894192,867118523442598,Vi
PH_0014,+916689588485,869808355746890,Jio
PH_0015,+918168568631,862200745017799,Airtel
PH_0016,+919520097229,864020572574784,Airtel
PH_0017,+919115351748,869352456212681,Vi
PH_0018,+918998458008,864258116580642,BSNL
PH_0019,+918892770843,862889604138150,Jio
PH_0020,+919585190250,868461988627399,Jio
PH_0021,+918208691233,868169277754937,Airtel
PH_0022,+919270228642,866531851789517,Airtel
PH_0023,+918001032544,869719367350048,Vi
PH_0024,+919026796228,861716066124125,Airtel
PH_0025,+917409244959,863033640011348,BSNL
PH_0026,+917218101886,866487835082067,BSNL
PH_0027,+916970118986,868166384500379,Vi
PH_0028,+919673767577,864321847801177,Airtel
PH_0029,+919842941932,867466842626371,Jio
PH_0030,+916054914778,867971183631216,BSNL
PH_0031,+918244817796,863096309138071,Jio
PH_0032,+917695702318,863972022249619,Airtel
PH_0033,+917562122502,864504586830556,Vi
PH_0034,+916860125163,868112425732851,Airtel
PH_0035,+917000167474,868472547779056,BSNL
PH_0036,+917196227113,865804323144149,BSNL
PH_0037,+917529426298,869995742570599,Vi
PH_0038,+916632966915,869000527638114,Airtel
PH_0039,+916524802306,869608191165928,BSNL
PH_0040,+916991372057,861520269181410,Airtel
PH_0041,+919168819811,869762026323745,Airtel
PH_0042,+916769210137,866753878369864,Jio
PH_0043,+917300312565,869661950765829,BSNL
PH_0044,+916867290276,869626432790478,Vi
PH_0045,+918329753974,861311585360502,Airtel
PH_0046,+917848581435,867747905299117,BSNL
PH_0047,+917351021444,867622207670309,BSNL
PH_0048,+917974208537,861575680155394,Jio
PH_0049,+918390864624,866333401836549,Jio
PH_0050,+918110888847,863364081774115,Vi
PH_0051,+919074007690,869574425810801,Airtel
PH_0052,+918443214578,869631488506174,BSNL
PH_0053,+918044022431,869912728489653,Airtel
PH_0054,+917680985022,869702734997371,BSNL
PH_0055,+918649735743,867204838268344,Vi
PH_0056,+917376463094,861494185053021,Airtel
PH_0057,+916550606479,867446045548802,Vi
PH_0058,+919477005482,867693024732777,Airtel
PH_0059,+917838882481,868247144703976,Vi
PH_0060,+916242447651,865297807300195,Jio
PH_0061,+917007694189,866491751698840,Airtel
PH_0062,+919910091063,862154006135323,Vi
PH_0063,+916491650481,863986452227020,Airtel
PH_0064,+918312482595,861658530657456,BSNL
PH_0065,+918825091118,868434001561639,BSNL
PH_0066,+917145119397,867645673825605,BSNL
PH_0067,+917384789235,862720445953171,BSNL
PH_0068,+916429740169,866910759368797,BSNL
PH_0069,+918159374355,866972870949181,Jio
PH_0070,+918640665603,867392197768901,BSNL
PH_0071,+916866546691,862326230708992,Jio
PH_0072,+917234182744,861834362487917,Vi
PH_0073,+918463252622,865807515112698,Airtel
PH_0074,+918432790994,868513939062808,Jio
PH_0075,+917491712941,862352037029186,Vi
PH_0076,+918167410280,866277673537438,BSNL
PH_0077,+918849524815,866512762097961,Jio
PH_0078,+917779466167,865421249217045,BSNL
PH_0079,+918884329289,864285060324545,BSNL
PH_0080,+916914625337,869224596526216,Vi
PH_0081,+918739872850,862054958894679,Jio
PH_0082,+917564547781,863600441579271,Jio
PH_0083,+916646275116,866281802733452,BSNL
PH_0084,+917762054424,865696170663889,Vi
PH_0085,+918774732090,865510405365153,Jio
PH_0086,+917743180954,862998184071165,Jio
PH_0087,+916824272995,865316561121011,Vi
PH_0088,+917993550742,868675069162117,BSNL
PH_0089,+918778509037,861652429823003,Jio
PH_0090,+916684439498,863397763040130,Airtel
PH_0091,+917109805988,864094741717884,Airtel
PH_0092,+919103002206,861970748116301,Airtel
PH_0093,+917348210721,866242443952346,Airtel
PH_0094,+919867939656,868163812556197,Vi
PH_0095,+918884809577,867979709718568,Jio
PH_0096,+917013789043,869803542558827,Airtel
PH_0097,+918241790651,865430367257299,BSNL
PH_0098,+919799177162,865187980729189,Airtel
PH_0099,+919320829552,866513907736103,Vi
PH_0100,+919574848002,864832927036563,Jio
PH_0101,+916458762697,864763143633119,Vi
PH_0102,+917887532541,865472814914811,Airtel
PH_0103,+918106074066,867590771068149,Airtel
PH_0104,+917359313973,868454112215618,BSNL
PH_0105,+918932339303,867382943792137,BSNL
PH_0106,+919073784537,861370690773543,Airtel
PH_0107,+919614098856,865216247411382,Vi
PH_0108,+918373948273,866439080828637,Vi
PH_0109,+919879030194,865161251877026,BSNL
PH_0110,+917668470325,867914728760378,Vi
PH_0111,+917292304779,866232281461491,Jio
PH_0112,+919691166761,863821322126763,BSNL
PH_0113,+918711639209,868149593384188,Airtel
PH_0114,+917176977900,862412470624259,BSNL
PH_0115,+918023321653,868265954839170,Vi
PH_0116,+919081149490,869904588062529,Airtel
PH_0117,+917511211495,868972862760729,Airtel
PH_0118,+919272659618,864232571025466,BSNL
PH_0119,+919397402104,863395050282296,Airtel
PH_0120,+917720829540,866520345292035,Airtel
PH_0121,+916476003514,865390134418747,Jio
PH_0122,+919637667342,866621851993713,BSNL
PH_0123,+918054564070,865583303525071,Jio
PH_0124,+918952647739,864493018721982,Airtel
PH_0125,+917780248603,864201329463647,BSNL
PH_0126,+919764066450,864949524753824,Airtel
PH_0127,+916098655791,865022780733066,Airtel
PH_0128,+917986099771,865605056488177,Jio
PH_0129,+916213816205,863625342387025,Airtel
PH_0130,+917580205025,863064020591789,Airtel
PH_0131,+919086292314,868655890177207,BSNL
PH_0132,+919553043688,869695906940209,Airtel
PH_0133,+916964151220,864576477523086,Jio
PH_0134,+919701990020,866064909774503,BSNL
PH_0135,+917640993275,868585471446602,Jio
PH_0136,+918577335953,865981406530909,Jio
PH_0137,+917796717941,868186254968912,Jio
PH_0138,+916123579604,865141472893489,BSNL
PH_0139,+919896945119,867503647003673,BSNL
PH_0140,+916368244826,869246381533409,Jio
PH_0141,+919742821232,867995183271405,Jio
PH_0142,+919063754568,865507985630540,Airtel
PH_0143,+916409221994,862033184447713,Airtel
PH_0144,+917429633718,865131462463495,BSNL
PH_0145,+919900803267,861802342209015,Airtel
PH_0146,+917089448023,866323100594603,BSNL
PH_0147,+918883048433,863325170315714,Airtel
PH_0148,+918493172294,865579205535367,Jio
PH_0149,+918163575681,863321292749034,Airtel
PH_0150,+917362867804,863492940450413,Vi
PH_0151,+916501832818,861774439596006,Jio
PH_0152,+918144093270,865942797846448,Vi
PH_0153,+919978157818,865975419334171,Vi
PH_0154,+918632521028,865642544898393,Vi
PH_0155,+917871640952,863902936921053,Vi
PH_0156,+919164829267,869645745823969,Jio
PH_0157,+918386604692,868742959396978,Airtel
PH_0158,+916811405047,861958416028542,Jio
PH_0159,+916786585993,869272261039287,Vi
PH_0160,+916702463180,869219304524659,BSNL
PH_0161,+916498319477,869709881029904,Airtel
PH_0162,+917896312622,869050852628744,BSNL
PH_0163,+916483144641,863606473399644,Airtel
PH_0164,+917501539056,864582404638813,Vi
PH_0165,+916775907148,863962818565619,Vi
PH_0166,+918419129100,864734842045532,Airtel
PH_0167,+918259218970,868323694776986,Airtel
PH_0168,+917057238139,869765032907189,Airtel
PH_0169,+919811215239,861456678107799,Vi
PH_0170,+918926214216,867932601162856,Vi
PH_0171,+918535484518,863702924015767,Airtel
PH_0172,+916348163949,868986405165201,Vi
PH_0173,+918552087856,861101610363390,Vi
PH_0174,+916188321417,868971248401171,Vi
PH_0175,+919141962771,864715702137067,Airtel
PH_0176,+919442665234,865976336558821,Vi
PH_0177,+919428015166,862629430666770,BSNL
PH_0178,+917095920639,865222717402539,BSNL
PH_0179,+916383060868,863865637496300,BSNL
PH_0180,+919347894979,866013955113097,Jio
PH_0181,+916517981598,869634166513117,BSNL
PH_0182,+919160620396,867314165797067,Airtel
PH_0183,+919573639898,869612267869018,BSNL
PH_0184,+919802820039,869381148026318,Vi
PH_0185,+918418311717,868441461800548,Airtel
PH_0186,+919249102562,868637252244481,BSNL
PH_0187,+916399206328,862475427256454,Vi
PH_0188,+918010986027,862393447831583,BSNL
PH_0189,+917290179231,866286687715609,Jio
PH_0190,+918246663276,866198747522274,Airtel
PH_0191,+918366502646,869981238892577,BSNL
PH_0192,+917773904836,869173728571522,Vi
PH_0193,+917526678932,861285630119501,Airtel
PH_0194,+919180492708,869141804483185,Jio
PH_0195,+919376604904,861796256688697,Airtel
PH_0196,+917787786836,866520311361698,BSNL
PH_0197,+919252811795,868914208503447,Vi
PH_0198,+917466019993,864711655726131,Jio
PH_0199,+916335954600,865563849655680,Airtel
PH_0200,+917863152169,861315827740092,Airtel
PH_0201,+917696227959,861232429363325,Jio
PH_0202,+918816643737,869093767599904,BSNL
PH_0203,+919731383917,869562987586668,Vi
PH_0204,+918656434573,867346315595071,BSNL
PH_0205,+919455905653,862538898192425,Jio
PH_0206,+916580310006,864354429054810,Airtel
PH_0207,+919504556843,864311293171146,Airtel
PH_0208,+916898633785,868663260094178,Jio
PH_0209,+916369768979,863604740578992,BSNL
PH_0210,+917811957488,863048793102755,Jio
PH_0211,+919875844373,868832743016480,BSNL
PH_0212,+918025030698,864540095138324,Vi
PH_0213,+918445685199,861895035679701,Vi
PH_0214,+916033819777,866119596835126,Airtel
PH_0215,+918093781592,869552996500474,BSNL
PH_0216,+916996027749,862068219743020,Airtel
PH_0217,+917812495724,866555868347280,Airtel
PH_0218,+917150402112,863055027338614,BSNL
PH_0219,+918674461918,868887049295989,BSNL
PH_0220,+916089365072,866064459363836,Jio
PH_0221,+918015372326,868706648142321,Jio
PH_0222,+918180279805,869240568887433,Jio
PH_0223,+919793200863,867866413115125,BSNL
PH_0224,+919578054555,865965872148305,Airtel
PH_0225,+918864985663,863269816728043,Jio
PH_0226,+916856778208,862775935414909,BSNL
PH_0227,+918120533071,865128767746428,Jio
PH_0228,+918391568856,867309384828135,Vi
PH_0229,+917533491749,863790341158124,Jio
PH_0230,+919556012519,861560508173903,Airtel
PH_0231,+917450559731,863003304260756,Jio
PH_0232,+916518351152,864940898702378,BSNL
PH_0233,+917107337642,866987157192670,Vi
PH_0234,+919304435774,862832531488102,Airtel
PH_0235,+919979854542,868704940550662,BSNL
PH_0236,+919614631486,862953161135510,Airtel
PH_0237,+919357171471,862795070343561,Airtel
PH_0238,+918178861531,863938210367628,Airtel
PH_0239,+919740355928,863763217196602,Vi
PH_0240,+919041538490,869768201060562,Airtel
PH_0241,+916662695110,867397985546880,Vi
PH_0242,+919518268770,863160960278130,Jio
PH_0243,+917885956471,868314198895566,Airtel
PH_0244,+917053624456,867006398648330,Vi
PH_0245,+918169056122,862499679150136,Vi
PH_0246,+917599601959,867345449144579,Jio
PH_0247,+916651165188,868419683350806,Jio
PH_0248,+916592681126,868545406142024,BSNL
PH_0249,+919942866138,868782608571147,Jio
PH_0250,+919307777078,862228118594505,Airtel
PH_0251,+917453003039,868066573277251,Jio
PH_0252,+917864326250,867915161351031,Airtel
PH_0253,+918835435059,862016079986515,Vi
PH_0254,+917800902537,866517927869561,Vi
PH_0255,+916033939818,865921289507152,Jio
PH_0256,+919007744409,868848640150594,Jio
PH_0257,+919812126034,868780986251010,Vi
PH_0258,+919812534646,868115252232298,Jio
PH_0259,+919783757459,862483058784691,Airtel
PH_0260,+918308259281,867860499407892,Jio
PH_0261,+918235400336,864759315844880,Airtel
PH_0262,+918197612808,866491338106464,Vi
PH_0263,+919251489188,863815933827358,Airtel
PH_0264,+916119791902,865244538754315,Vi
PH_0265,+919120333471,862943495355621,Airtel
PH_0266,+919614573360,865567152167680,Vi
PH_0267,+916531772868,868894685686391,Vi
PH_0268,+918458590795,861093359097217,BSNL
PH_0269,+917455909264,865157455115761,Jio
PH_0270,+917504686545,866004921960987,Jio
PH_0271,+919068114086,865358264429452,Airtel
PH_0272,+917408091983,867355600475471,BSNL
PH_0273,+916420854556,862440583798141,Airtel
PH_0274,+916267119789,869375744844915,Jio
PH_0275,+917916260187,867494325871231,BSNL
PH_0276,+918526469228,867948307144323,Vi
PH_0277,+918509565608,868335689347753,Jio
PH_0278,+916619962132,863235555327777,BSNL
PH_0279,+919054368419,863274003561111,Airtel
PH_0280,+918982728970,869011027299805,BSNL
PH_0281,+916140047655,863760575181271,Vi
PH_0282,+919958659997,863091442149163,BSNL
PH_0283,+916473890212,867498804636199,Vi
PH_0284,+916173010491,863695189806863,Airtel
PH_0285,+917595440130,866335957674052,Vi
PH_0286,+918087034313,863500284585652,BSNL
PH_0287,+916208954648,864793673669590,Jio
PH_0288,+919518115388,869601701343506,Airtel
