transaction_id,sender_account,receiver_account,amount,transaction_type,timestamp
TXN_000001,188913657952,399808444886,1070126.12,Crypto Off-ramp,2026-02-22T21:01:16Z
TXN_000002,896163552047,189538395298,213969.42,Cash Deposit,2025-05-27T00:27:09Z
TXN_000003,553508904470,299708254154,579208.24,Cash Deposit,2024-02-06T03:56:16Z
TXN_000004,311237897638,173469759984,957818.08,ATM Withdrawal,2024-08-20T05:40:47Z
TXN_000005,296419335163,403735228688,1275578.09,Hawala,2024-07-31T07:14:12Z
TXN_000006,836826367371,755641749875,2019558.82,ATM Withdrawal,2023-12-14T13:06:13Z
TXN_000007,644054724977,878151054804,1885084.56,Hawala,2025-08-10T10:55:15Z
TXN_000008,621361954789,104024825971,2336271.29,Wire Transfer,2026-03-27T11:08:56Z
TXN_000009,291048960698,525226211418,1722562.79,ATM Withdrawal,2024-10-17T06:13:07Z
TXN_000010,392493759560,824686854563,2214994.59,Cash Deposit,2026-04-24T14:01:04Z
TXN_000011,610152175213,859415578520,2467303.54,ATM Withdrawal,2024-11-30T16:10:06Z
TXN_000012,864324181290,654802816141,13103.54,Wire Transfer,2025-04-06T06:29:31Z
TXN_000013,769926325174,589033694632,1012790.47,Cash Deposit,2024-01-25T22:35:31Z
TXN_000014,843883977052,775379444078,2462991.45,Crypto Off-ramp,2026-03-15T14:33:09Z
TXN_000015,273362959038,646992008730,1263348.65,Crypto Off-ramp,2025-12-02T11:21:40Z
TXN_000016,931053980604,351119549747,860370.86,ATM Withdrawal,2025-05-13T20:59:59Z
TXN_000017,612606730953,721398574914,2381134.53,Wire Transfer,2024-06-28T20:34:47Z
TXN_000018,159568893213,740859208642,1446273.75,ATM Withdrawal,2026-06-06T02:37:28Z
TXN_000019,577207114932,429686382354,751580.65,ATM Withdrawal,2025-04-09T20:40:44Z
TXN_000020,241312394717,297882139006,2117058.53,Crypto Off-ramp,2024-03-24T09:56:15Z
TXN_000021,839346014479,315078306992,204343.25,Hawala,2023-08-09T08:56:02Z
TXN_000022,383175827127,122324194131,75982.15,Cash Deposit,2023-05-08T04:36:53Z
TXN_000023,251510202090,938206903933,1312014.67,Cash Deposit,2026-05-30T18:49:04Z
TXN_000024,725997986456,125592084557,1610598.15,Hawala,2025-10-06T08:24:01Z
TXN_000025,612815827483,623045427426,1401172.97,Wire Transfer,2026-02-28T15:49:59Z
TXN_000026,822586961665,837237186326,1134959.6,Cash Deposit,2023-12-14T15:07:22Z
TXN_000027,916436170997,404724248906,1418467.71,Wire Transfer,2023-02-27T12:49:58Z
TXN_000028,761923001204,897175243274,1616727.57,ATM Withdrawal,2023-10-06T17:50:52Z
TXN_000029,726071779657,525942291846,96071.75,Wire Transfer,2023-08-23T02:22:19Z
TXN_000030,144998273972,574582819955,652589.99,ATM Withdrawal,2025-06-12T02:36:31Z
TXN_000031,633926905953,519478963344,1003868.35,Hawala,2023-06-05T16:19:49Z
TXN_000032,470900838824,124760229468,1282409.74,Wire Transfer,2025-05-09T23:58:47Z
TXN_000033,679284344186,337112821775,1108685.8,Wire Transfer,2024-02-22T04:26:26Z
TXN_000034,127380905918,351611550322,900790.87,Crypto Off-ramp,2025-07-19T03:48:42Z
TXN_000035,105902392359,878151054804,808881.61,Wire Transfer,2026-07-13T17:01:16Z
TXN_000036,865684182938,843180961540,378529.21,ATM Withdrawal,2023-09-04T14:34:24Z
TXN_000037,312590792484,627073536838,1423381.61,ATM Withdrawal,2024-03-10T19:31:28Z
TXN_000038,831433811484,362595765001,2276901.04,Crypto Off-ramp,2025-08-25T18:53:38Z
TXN_000039,288549081524,189336915729,1796561.62,Crypto Off-ramp,2024-03-14T23:17:30Z
TXN_000040,204631543545,311538803488,194280.85,Hawala,2023-05-06T00:28:18Z
TXN_000041,610989253293,849140396032,707883.95,Crypto Off-ramp,2023-02-24T06:23:06Z
TXN_000042,763103240905,261947364074,1894225.32,Wire Transfer,2026-01-01T19:32:10Z
TXN_000043,851041885399,730724401929,1162307.05,Hawala,2024-06-02T23:21:07Z
TXN_000044,224231733594,430900922106,679555.59,Hawala,2024-08-15T17:21:02Z
TXN_000045,159190716367,428950721942,618224.92,ATM Withdrawal,2026-05-20T12:40:26Z
TXN_000046,554621158698,512228633770,149155.86,Cash Deposit,2024-12-30T00:26:20Z
TXN_000047,720301931247,591287149742,408439.57,ATM Withdrawal,2025-02-26T10:53:26Z
TXN_000048,844318281380,837206702374,1833363.03,Cash Deposit,2025-02-21T13:59:12Z
TXN_000049,597401325570,329382103465,1847449.38,Wire Transfer,2025-06-02T11:18:41Z
TXN_000050,400536410991,726071779657,1032588.39,Cash Deposit,2024-08-06T01:53:42Z
TXN_000051,109691407062,174603445189,1288578.05,ATM Withdrawal,2025-09-05T20:52:16Z
TXN_000052,404714130413,391318937123,1807534.88,Wire Transfer,2024-11-06T04:07:07Z
TXN_000053,659535848106,409053230634,849720.58,Crypto Off-ramp,2024-12-07T01:44:06Z
TXN_000054,518155956828,867715673235,1510345.89,Hawala,2026-02-13T03:57:13Z
TXN_000055,667485216837,610667701246,1547181.21,Cash Deposit,2026-05-26T00:12:01Z
TXN_000056,167027944355,774614865670,107792.25,Crypto Off-ramp,2023-04-28T18:54:19Z
TXN_000057,855984816312,168806662718,525319.85,Crypto Off-ramp,2026-02-10T09:15:12Z
TXN_000058,179603418555,943976618396,1962679.6,Crypto Off-ramp,2023-06-23T10:04:57Z
TXN_000059,832508598901,758759696106,2198021.6,Cash Deposit,2023-07-25T18:51:10Z
TXN_000060,930481160814,207872783185,1339973.11,Crypto Off-ramp,2026-02-18T02:47:39Z
TXN_000061,794742375049,791939043931,1687941.53,Crypto Off-ramp,2023-05-04T14:09:51Z
TXN_000062,584831082628,423593328257,1376865.13,Cash Deposit,2025-04-15T23:48:08Z
TXN_000063,880519032210,413094617397,1142983.53,Crypto Off-ramp,2026-05-01T05:23:29Z
TXN_000064,510222040245,243944686612,103078.88,Crypto Off-ramp,2024-06-08T19:50:45Z
TXN_000065,841930984619,870615879892,947714.65,Crypto Off-ramp,2024-08-28T13:59:20Z
TXN_000066,975993074466,876432006248,1874268.33,Hawala,2024-08-30T00:03:24Z
TXN_000067,863787984130,536729747321,1669943.56,Wire Transfer,2023-11-21T10:38:28Z
TXN_000068,482316249551,784038745263,2211935.0,Hawala,2023-04-01T06:47:05Z
TXN_000069,590756335141,133508884937,246613.17,Hawala,2025-02-03T10:18:15Z
TXN_000070,855984816312,809764817410,2038591.48,Wire Transfer,2024-04-14T12:20:30Z
TXN_000071,298099898903,961805038891,1409221.94,Hawala,2025-02-13T05:13:33Z
TXN_000072,118145484224,104261628430,440209.8,Hawala,2024-06-04T15:24:58Z
TXN_000073,392493759560,457534054609,2030572.9,Hawala,2026-02-23T19:05:32Z
TXN_000074,362897298764,311024379137,1772258.06,Cash Deposit,2025-07-16T11:53:24Z
TXN_000075,304574075460,834500536139,450925.89,Hawala,2025-07-04T23:57:56Z
TXN_000076,915417528951,948201731736,2220547.0,Wire Transfer,2023-12-31T02:01:32Z
TXN_000077,774614865670,383175827127,41144.54,Cash Deposit,2024-05-13T19:25:09Z
TXN_000078,512228633770,127672389870,1785104.45,ATM Withdrawal,2024-05-14T23:31:56Z
TXN_000079,825988056608,276378107365,1766226.56,ATM Withdrawal,2025-09-18T21:24:34Z
TXN_000080,671213975238,834500536139,2455012.21,ATM Withdrawal,2023-08-30T10:16:35Z
TXN_000081,704562321344,211057087126,494772.16,Crypto Off-ramp,2025-06-19T17:18:35Z
TXN_000082,659535848106,173469759984,1559902.35,ATM Withdrawal,2026-07-29T03:55:01Z
TXN_000083,214310617088,189538395298,1404610.55,Wire Transfer,2024-01-06T15:07:26Z
TXN_000084,775379444078,750261270391,1720831.31,Hawala,2024-01-23T23:04:46Z
TXN_000085,672823370623,737882406950,2077337.01,Crypto Off-ramp,2026-03-10T09:27:46Z
TXN_000086,282139591375,503649256469,2361043.37,Crypto Off-ramp,2023-04-19T23:41:21Z
TXN_000087,424666491554,820652046614,713221.26,Crypto Off-ramp,2023-04-29T21:47:59Z
TXN_000088,411337155994,540578654853,2222433.71,Crypto Off-ramp,2023-05-16T12:15:55Z
TXN_000089,637940784336,254058350402,273682.26,Wire Transfer,2025-09-29T07:09:22Z
TXN_000090,497557374662,905027059738,997996.95,ATM Withdrawal,2025-07-24T18:09:22Z
TXN_000091,411337155994,137085456283,1997876.76,ATM Withdrawal,2023-10-14T10:30:00Z
TXN_000092,101288461054,822586961665,163415.83,ATM Withdrawal,2025-01-31T20:35:46Z
TXN_000093,211680906360,597156755523,1781485.35,Cash Deposit,2026-01-13T21:35:19Z
TXN_000094,895643876630,275330503693,529821.42,Hawala,2023-03-07T02:19:38Z
TXN_000095,323470969897,509424579955,2489256.27,ATM Withdrawal,2025-07-19T18:53:59Z
TXN_000096,572042480393,497557374662,2296791.34,Crypto Off-ramp,2023-09-03T22:13:04Z
TXN_000097,163131301913,214310617088,1819681.89,Hawala,2025-10-12T19:10:35Z
TXN_000098,330678874270,481498187599,2491354.03,Crypto Off-ramp,2025-03-16T23:28:32Z
TXN_000099,541684933300,840183762064,231175.46,Cash Deposit,2024-02-20T11:44:55Z
TXN_000100,740907432301,330955033046,1274840.05,ATM Withdrawal,2023-11-13T01:12:06Z
TXN_000101,610667701246,612460425385,629677.42,Cash Deposit,2024-01-21T11:50:54Z
TXN_000102,972231880929,782508577611,350960.87,ATM Withdrawal,2026-03-23T14:59:56Z
TXN_000103,481498187599,745081748726,2019408.48,ATM Withdrawal,2024-05-30T01:03:35Z
TXN_000104,809764817410,325614360495,1191490.32,Crypto Off-ramp,2023-03-09T07:22:34Z
TXN_000105,169848466237,675929464367,1461475.18,ATM Withdrawal,2025-11-07T08:12:39Z
TXN_000106,118566111883,957312586089,142940.97,Wire Transfer,2024-08-04T06:36:32Z
TXN_000107,124911242572,630164411294,1494940.03,Wire Transfer,2023-01-17T11:14:15Z
TXN_000108,793468696662,998462046182,1848673.21,Crypto Off-ramp,2026-04-10T00:17:29Z
TXN_000109,464588900070,408249569141,2322112.24,Hawala,2024-04-26T23:36:19Z
TXN_000110,338754551365,523084216424,1675423.24,Hawala,2024-04-12T07:06:39Z
